"Plot";"Subplot";"herb1";"Plant";"fv1";"sal"
1;"A1";2;"LEMA";4;1,899
1;"A1";0;"BEMA";0;1,899
1;"A1";3;"HOMA";0;1,899
1;"A1";0;"SOAS";0;1,899
1;"A2";6;"LEMA";10;1,12
1;"A2";3;"HOMA";0;1,12
1;"A2";1;"BEMA";0;1,12
1;"A2";0;"SOAS";0;1,12
1;"A3";0;"SOAS";0;0,831
1;"A3";7;"LEMA";11;0,831
1;"A3";2;"HOMA";0;0,831
1;"A3";0;"BEMA";0;0,831
1;"A3";0;"CHFU";0;0,831
1;"A4";0;"BEMA";0;1,226
1;"A4";2;"LEMA";13;1,226
1;"A4";0;"SOAS";0;1,226
1;"A5";0;"CHFU";0;0,866
1;"A5";2;"LEMA";16;0,866
1;"A5";0;"CHFU";0;0,866
1;"A5";0;"BEMA";0;0,866
1;"A5";0;"SOAS";0;0,866
1;"A6";2;"SOAS";0;0,839
1;"A6";0;"BEMA";0;0,839
1;"A6";0;"CHFU";0;0,839
1;"A6";10;"LEMA";12;0,839
1;"B1";8;"LEMA";10;1,049
1;"B1";0;"BEMA";0;1,049
1;"B1";0;"CHFU";2;1,049
1;"B1";2;"HOMA";0;1,049
1;"B1";2;"HOMA";0;1,049
1;"B2";0;"SOAS";0;1,161
1;"B2";0;"BEMA";0;1,161
1;"B2";2;"HOMA";0;1,161
1;"B2";3;"LEMA";10;1,161
1;"B2";2;"HOMA";0;1,161
1;"B3";0;"CHFU";0;1,23
1;"B3";0;"CHFU";0;1,23
1;"B3";0;"BEMA";0;1,23
1;"B3";0;"SOAS";0;1,23
1;"B4";9;"LEMA";13;1,098
1;"B4";1;"CHFU";1;1,098
1;"B4";9;"LEMA";13;1,098
1;"B4";1;"CHFU";1;1,098
1;"B4";0;"SOAS";0;1,098
1;"B5";0;"BEMA";0;0,955
1;"B5";10;"LEMA";9;0,955
1;"B6";0;"SCLA";0;1,052
1;"B6";0;"SOAS";0;1,052
1;"B6";2;"LEMA";10;1,052
1;"B6";3;"HOMA";0;1,052
1;"B6";0;"BEMA";0;1,052
1;"C1";0;"CHFU";3;0,996
1;"C1";0;"CHMI";0;0,996
1;"C1";0;"CHMI";0;0,996
1;"C1";7;"LEMA";7;0,996
1;"C1";0;"BEMA";0;0,996
1;"C2";0;"BEMA";0;1,309
1;"C2";3;"HOMA";0;1,309
1;"C2";3;"HOMA";0;1,309
1;"C2";8;"LEMA";8;1,309
1;"C2";0;"SOAS";0;1,309
1;"C2";0;"CHFU";0;1,309
1;"C3";0;"CHFU";0;1,301
1;"C3";0;"BEMA";0;1,301
1;"C3";0;"HOMA";0;1,301
1;"C3";3;"LEMA";6;1,301
1;"C4";3;"LEMA";5;1,082
1;"C4";1;"BEMA";0;1,082
1;"C5";0;"BEMA";0;0,927
1;"C5";6;"LEMA";2;0,927
1;"C5";0;"CHFU";0;0,927
1;"C6";4;"LEMA";4;1,2
1;"C6";1;"BEMA";0;1,2
1;"D1";1;"HOMA";0;0,905
1;"D1";10;"LEMA";6;0,905
1;"D1";0;"CHFU";2;0,905
1;"D2";6;"LEMA";9;1,002
1;"D2";0;"BEMA";0;1,002
1;"D2";0;"SCLA";0;1,002
1;"D3";0;"CHFU";0;1,032
1;"D3";0;"BEMA";0;1,032
1;"D3";0;"SCLA";0;1,032
1;"D3";0;"CHFU";0;1,032
1;"D3";8;"LEMA";5;1,032
1;"D4";11;"LEMA";13;1,097
1;"D4";1;"BEMA";0;1,097
1;"D4";0;"SOAS";0;1,097
1;"D4";0;"SCLA";0;1,097
1;"D5";0;"CHFU";0;1,001
1;"D5";0;"BEMA";0;1,001
1;"D5";0;"HOMA";0;1,001
1;"D5";7;"LEMA";9;1,001
1;"D6";0;"BEMA";0;1,068
1;"D6";11;"LEMA";21;1,068
1;"D6";1;"HOMA";0;1,068
1;"D6";1;"HOMA";0;1,068
1;"E1";2;"HOMA";0;1,031
1;"E1";0;"BEMA";0;1,031
1;"E1";2;"LEMA";4;1,031
1;"E1";0;"SCLA";0;1,031
1;"E1";0;"SCLA";0;1,031
1;"E1";2;"HOMA";0;1,031
1;"E1";0;"SOAS";0;1,031
1;"E2";5;"LEMA";21;0,934
1;"E2";0;"BEMA";0;0,934
1;"E3";0;"BEMA";0;1,053
1;"E3";0;"CHFU";3;1,053
1;"E3";7;"LEMA";9;1,053
1;"E4";4;"LEMA";5;0,893
1;"E4";2;"HOMA";0;0,893
1;"E4";2;"HOMA";0;0,893
1;"E4";0;"BEMA";0;0,893
1;"E5";8;"LEMA";6;0,846
1;"E5";0;"BEMA";0;0,846
1;"E6";1;"HOMA";0;0,967
1;"E6";1;"HOMA";0;0,967
1;"E6";1;"HOMA";0;0,967
1;"E6";0;"BEMA";0;0,967
1;"F1";0;"SOAS";0;1,345
1;"F1";0;"BEMA";0;1,345
1;"F1";4;"HOMA";0;1,345
1;"F1";4;"HOMA";0;1,345
1;"F1";6;"LEMA";7;1,345
1;"F2";2;"LEMA";10;1,051
1;"F2";1;"HOMA";0;1,051
1;"F2";1;"HOMA";0;1,051
1;"F2";1;"BEMA";0;1,051
1;"F3";2;"HOMA";0;0,968
1;"F3";7;"LEMA";9;0,968
1;"F3";0;"CHFU";1;0,968
1;"F3";0;"CHFU";1;0,968
1;"F3";0;"BEMA";0;0,968
1;"F4";1;"HOMA";0;0,769
1;"F4";1;"LEMA";17;0,769
1;"F4";0;"BEMA";0;0,769
1;"F4";0;"CHFU";0;0,769
1;"F4";0;"CHFU";0;0,769
1;"F5";0;"CHFU";2;0,81
1;"F5";9;"HOMA";0;0,81
1;"F5";5;"LEMA";6;0,81
1;"F5";0;"BEMA";0;0,81
1;"F6";0;"SCLA";0;1,24
1;"F6";0;"HOMA";0;1,24
1;"F6";0;"HOMA";0;1,24
1;"F6";9;"LEMA";8;1,24
1;"F6";0;"BEMA";0;1,24
2;"A1";0;"SCLA";0;0,876
2;"A1";0;"SCLA";0;0,876
2;"A1";0;"BEMA";0;0,876
2;"A1";4;"LEMA";4;0,876
2;"A2";5;"LEMA";7;0,7071
2;"A2";0;"BEMA";0;0,7071
2;"A2";0;"SCLA";0;0,7071
2;"A3";0;"BEMA";0;0,804
2;"A3";0;"CHFU";1;0,804
2;"A3";1;"HOMA";0;0,804
2;"A3";0;"CHFU";1;0,804
2;"A3";5;"LEMA";5;0,804
2;"A4";0;"BEMA";0;0,703
2;"A4";3;"LEMA";3;0,703
2;"A4";0;"CHFU";0;0,703
2;"A5";3;"LEMA";2;0,917
2;"A5";1;"HOMA";0;0,917
2;"A5";0;"CHFU";1;0,917
2;"A5";0;"BEMA";0;0,917
2;"A6";2;"HOMA";0;0,665
2;"A6";0;"SCLA";0;0,665
2;"A6";0;"SCLA";0;0,665
2;"A6";0;"BEMA";0;0,665
2;"A6";2;"HOMA";0;0,665
2;"B1";3;"HOMA";0;0,95
2;"B1";0;"CHFU";0;0,95
2;"B1";2;"LEMA";7;0,95
2;"B1";0;"SCLA";0;0,95
2;"B1";0;"BEMA";0;0,95
2;"B2";0;"SCLA";0;0,773
2;"B2";8;"LEMA";13;0,773
2;"B2";0;"BEMA";0;0,773
2;"B2";4;"HOMA";0;0,773
2;"B2";0;"CHFU";2;0,773
2;"B2";0;"CHFU";2;0,773
2;"B2";8;"LEMA";13;0,773
2;"B3";0;"BEMA";0;0,806
2;"B3";0;"SCLA";0;0,806
2;"B3";0;"CHFU";1;0,806
2;"B3";8;"LEMA";12;0,806
2;"B4";0;"SCLA";0;0,664
2;"B4";0;"SCLA";0;0,664
2;"B4";0;"BEMA";0;0,664
2;"B4";3;"LEMA";16;0,664
2;"B5";5;"LEMA";15;0,705
2;"B5";0;"BEMA";0;0,705
2;"B6";5;"LEMA";11;0,861
2;"B6";0;"BEMA";0;0,861
2;"B6";0;"HOMA";0;0,861
2;"B6";0;"SCLA";0;0,861
2;"C1";0;"BEMA";0;0,624
2;"C1";0;"CHFU";3;0,624
2;"C1";3;"LEMA";0;0,624
2;"C1";0;"SCLA";0;0,624
2;"C2";0;"BEMA";0;0,802
2;"C2";2;"LEMA";5;0,802
2;"C2";0;"SCLA";0;0,802
2;"C2";0;"CHFU";2;0,802
2;"C2";4;"HOMA";0;0,802
2;"C3";4;"LEMA";8;0,785
2;"C3";0;"CHFU";0;0,785
2;"C3";1;"BEMA";0;0,785
2;"C3";0;"SCLA";0;0,785
2;"C4";1;"BEMA";0;0,713
2;"C4";1;"LEMA";8;0,713
2;"C4";0;"CHFU";0;0,713
2;"C4";0;"SCLA";0;0,713
2;"C5";0;"BEMA";0;0,681
2;"C5";4;"LEMA";8;0,681
2;"C5";0;"SCLA";0;0,681
2;"C6";0;"SCLA";0;0,795
2;"C6";3;"LEMA";5;0,795
2;"C6";0;"BEMA";0;0,795
2;"C6";0;"HOMA";0;0,795
2;"D1";0;"CHFU";1;0,649
2;"D1";0;"BEMA";0;0,649
2;"D1";0;"HOMA";0;0,649
2;"D1";0;"SCLA";0;0,649
2;"D1";4;"LEMA";5;0,649
2;"D2";0;"SOAS";0;0,704
2;"D2";1;"BEMA";0;0,704
2;"D2";0;"SCLA";0;0,704
2;"D2";1;"LEMA";7;0,704
2;"D3";0;"SCLA";0;0,666
2;"D3";0;"CHFU";0;0,666
2;"D3";0;"SCLA";0;0,666
2;"D3";4;"LEMA";4;0,666
2;"D3";0;"BEMA";0;0,666
2;"D4";0;"CHFU";1;0,623
2;"D4";0;"SCLA";0;0,623
2;"D4";1;"BEMA";0;0,623
2;"D4";6;"LEMA";4;0,623
2;"D5";0;"SCLA";0;0,579
2;"D5";1;"BEMA";0;0,579
2;"D5";0;"SCLA";0;0,579
2;"D5";8;"LEMA";5;0,579
2;"D5";2;"HOMA";0;0,579
2;"D6";4;"LEMA";7;0,643
2;"D6";0;"BEMA";0;0,643
2;"D6";0;"SCLA";0;0,643
2;"E1";0;"SCLA";0;0,81
2;"E1";1;"LEMA";8;0,81
2;"E1";1;"BEMA";0;0,81
2;"E1";0;"SOAS";0;0,81
2;"E2";0;"CHFU";1;0,712
2;"E2";3;"LEMA";11;0,712
2;"E2";0;"BEMA";0;0,712
2;"E3";0;"BEMA";0;0,703
2;"E3";2;"LEMA";7;0,703
2;"E3";0;"CHFU";1;0,703
2;"E3";1;"SOAS";0;0,703
2;"E3";1;"SOAS";0;0,703
2;"E3";1;"SOAS";0;0,703
2;"E4";0;"SCLA";0;0,576
2;"E4";0;"SOAS";0;0,576
2;"E4";0;"CHFU";0;0,576
2;"E4";1;"LEMA";8;0,576
2;"E4";0;"BEMA";0;0,576
2;"E5";0;"SCLA";0;0,579
2;"E5";0;"SCLA";0;0,579
2;"E5";3;"LEMA";7;0,579
2;"E5";0;"BEMA";0;0,579
2;"E6";0;"SCLA";0;0,799
2;"E6";3;"HOMA";0;0,799
2;"E6";2;"LEMA";3;0,799
2;"E6";0;"BEMA";0;0,799
2;"E6";0;"SOAS";0;0,799
2;"F1";6;"LEMA";11;0,764
2;"F1";0;"SCLA";0;0,764
2;"F1";0;"BEMA";0;0,764
2;"F1";0;"SOAS";0;0,764
2;"F2";1;"CHFU";1;0,798
2;"F2";1;"BEMA";0;0,798
2;"F2";7;"LEMA";9;0,798
2;"F3";0;"BEMA";0;0,518
2;"F3";5;"LEMA";5;0,518
2;"F4";0;"CHFU";0;0,523
2;"F4";7;"LEMA";13;0,523
