Day,Month,Year,Plot,Subplot,Type,Group,Order,Family,Genus,Species,raw_species_id,Aspect,Stage,number_animal,Plant,Jar,Time,Observers,Weather,comments
13,1,2020,9,A2,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,9,A3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,3,Stick,,11:20:00,Oscar and Maria,,alive
13,1,2020,9,A4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Stick,,11:20:00,Oscar and Maria,,alive
13,1,2020,6,F2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Dry_HOMA,,11:20:00,Oscar and Maria,,
13,1,2020,6,F4,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,6,F4,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Dry_HOMA,,11:20:00,Oscar and Maria,,
13,1,2020,6,D6,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,A2,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,A3,P,Mantis,Dictyoptera,Mantidae,Apteromantis,Apteromantis_aptera,Apteromantis_aptera,NA,Nymph,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,D2,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,D6,H,Caterpillar,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa_trifolii,Lasiocampa_trifolii,Caterpillar,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,F1,D,Slater,Isopoda,NA,NA,NA,Isopoda,NA,Adult,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,4,F5,P,Mantis,Dictyoptera,Mantidae,NA,NA,Mantis_ootheca,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,3,E1,P,Spider,Araneae,NA,NA,NA,Araneae,NA,Adult,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,2,D3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,2,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,1,F2,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,8,D3,H,Snail,Stylommatophora,Geomitridae,Cochlicella,Cochlicella_barbara,Cochlicella_barbara,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,Up to  a die Theba Pisana
13,1,2020,8,F5,P,Mantis,Dictyoptera,Mantidae,NA,NA,Mantis_ootheca,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,In a stick of a Subplot
13,1,2020,6,C6,P,Spider,Araneae,NA,NA,NA,Araneae,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
13,1,2020,6,D2,P,Spider,Araneae,NA,NA,NA,Spider_web,NA,NA,1,Stick,,11:20:00,Oscar and Maria,,
