Day;Month;Year;Sensor;Plot;Subplot;Moisture;Salinity;Observer;Observations
13;12;2019;10;1;A1;NA;0.157;Oscar and Maria ;
13;12;2019;10;1;A2;NA;0.085;Oscar and Maria ;
13;12;2019;10;1;A3;NA;0.045;Oscar and Maria ;
13;12;2019;10;1;A4;NA;0.258;Oscar and Maria ;
13;12;2019;10;1;A5;9;0.033;Oscar and Maria ;
13;12;2019;10;1;A6;NA;0.055;Oscar and Maria ;
13;12;2019;10;1;B1;NA;0.081;Oscar and Maria ;
13;12;2019;10;1;B2;NA;0.23;Oscar and Maria ;
13;12;2019;10;1;B3;NA;0.258;Oscar and Maria ;
13;12;2019;10;1;B4;22,8;0.101;Oscar and Maria ;
13;12;2019;10;1;B5;23;0.115;Oscar and Maria ;
13;12;2019;10;1;B6;22,1;0.115;Oscar and Maria ;
13;12;2019;10;1;C1;33,5;0.174;Oscar and Maria ;
13;12;2019;10;1;C2;NA;0.338;Oscar and Maria ;
13;12;2019;10;1;C3;NA;0.28;Oscar and Maria ;
13;12;2019;10;1;C4;NA;0.141;Oscar and Maria ;
13;12;2019;10;1;C5;25,1;0.131;Oscar and Maria ;
13;12;2019;10;1;C6;NA;0.29;Oscar and Maria ;
13;12;2019;10;1;D1;NA;0.166;Oscar and Maria ;
13;12;2019;10;1;D2;36,3;0.108;Oscar and Maria ;
13;12;2019;10;1;D3;18,6;0.111;Oscar and Maria ;
13;12;2019;10;1;D4;NA;0.217;Oscar and Maria ;
13;12;2019;10;1;D5;26,3;0.098;Oscar and Maria ;
13;12;2019;10;1;D6;20,5;0.095;Oscar and Maria ;
13;12;2019;10;1;E1;36,1;0.21;Oscar and Maria ;
13;12;2019;10;1;E2;NA;0.219;Oscar and Maria ;
13;12;2019;10;1;E3;NA;0.205;Oscar and Maria ;
13;12;2019;10;1;E4;NA;0.127;Oscar and Maria ;
13;12;2019;10;1;E5;22,3;0.133;Oscar and Maria ;
13;12;2019;10;1;E6;22,5;0.118;Oscar and Maria ;
13;12;2019;10;1;F1;36,1;0.232;Oscar and Maria ;
13;12;2019;10;1;F2;NA;0.131;Oscar and Maria ;
13;12;2019;10;1;F3;NA;0.114;Oscar and Maria ;
13;12;2019;10;1;F4;19,6;0.067;Oscar and Maria ;
13;12;2019;10;1;F5;NA;0.149;Oscar and Maria ;
13;12;2019;10;1;F6;NA;0.233;Oscar and Maria ;
13;12;2019;10;2;A1;NA;0.164;Oscar and Maria ;
13;12;2019;10;2;A2;NA;0.158;Oscar and Maria ;
13;12;2019;10;2;A3;NA;0.13;Oscar and Maria ;
13;12;2019;10;2;A4;NA;0.132;Oscar and Maria ;
13;12;2019;10;2;A5;NA;0.19;Oscar and Maria ;
13;12;2019;10;2;A6;22;0.066;Oscar and Maria ;
13;12;2019;10;2;B1;32,19;0.185;Oscar and Maria ;
13;12;2019;10;2;B2;22,5;0.079;Oscar and Maria ;
13;12;2019;10;2;B3;19,8;0.087;Oscar and Maria ;
13;12;2019;10;2;B4;20,6;0.078;Oscar and Maria ;
13;12;2019;10;2;B5;21,5;0.08;Oscar and Maria ;
13;12;2019;10;2;B6;16,8;0.058;Oscar and Maria ;
13;12;2019;10;2;C1;NA;0.051;Oscar and Maria ;
13;12;2019;10;2;C2;NA;0.139;Oscar and Maria ;
13;12;2019;10;2;C3;NA;0.139;Oscar and Maria ;
13;12;2019;10;2;C4;NA;0.15;Oscar and Maria ;
13;12;2019;10;2;C5;NA;0.096;Oscar and Maria ;
13;12;2019;10;2;C6;22,4;0.104;Oscar and Maria ;
13;12;2019;10;2;D1;NA;0.081;Oscar and Maria ;
13;12;2019;10;2;D2;NA;0.132;Oscar and Maria ;
13;12;2019;10;2;D3;20;0.091;Oscar and Maria ;
13;12;2019;10;2;D4;NA;0.099;Oscar and Maria ;
13;12;2019;10;2;D5;NA;0.135;Oscar and Maria ;
13;12;2019;10;2;D6;16,2;0.052;Oscar and Maria ;
13;12;2019;10;2;E1;23;0.3;Oscar and Maria ;
13;12;2019;10;2;E2;36,1;0.095;Oscar and Maria ;
13;12;2019;10;2;E3;NA;0.148;Oscar and Maria ;
13;12;2019;10;2;E4;22,4;0.112;Oscar and Maria ;
13;12;2019;10;2;E5;NA;0.144;Oscar and Maria ;
13;12;2019;10;2;E6;NA;0.183;Oscar and Maria ;
13;12;2019;10;2;F1;9,8;0.039;Oscar and Maria ;
13;12;2019;10;2;F2;NA;0.231;Oscar and Maria ;
13;12;2019;10;2;F3;8,3;0.086;Oscar and Maria ;
13;12;2019;10;2;F4;16,6;0.035;Oscar and Maria ;
13;12;2019;10;2;F5;NA;0.038;Oscar and Maria ;
13;12;2019;10;2;F6;20,5;0.053;Oscar and Maria ;
13;12;2019;10;3;A1;27,5;0.14;Oscar and Maria ;
13;12;2019;10;3;A2;43,8;0.169;Oscar and Maria ;
13;12;2019;10;3;A3;58,3;0.205;Oscar and Maria ;
13;12;2019;10;3;A4;14;0.09;Oscar and Maria ;
13;12;2019;10;3;A5;NA;0.115;Oscar and Maria ;
13;12;2019;10;3;A6;NA;0.267;Oscar and Maria ;
13;12;2019;10;3;B1;36,5;0.208;Oscar and Maria ;
13;12;2019;10;3;B2;NA;0.091;Oscar and Maria ;
13;12;2019;10;3;B3;NA;0.113;Oscar and Maria ;
13;12;2019;10;3;B4;41,4;0.219;Oscar and Maria ;
13;12;2019;10;3;B5;17,2;0.057;Oscar and Maria ;
13;12;2019;10;3;B6;NA;0.229;Oscar and Maria ;
13;12;2019;10;3;C1;NA;0.101;Oscar and Maria ;
13;12;2019;10;3;C2;43,4;0.157;Oscar and Maria ;
13;12;2019;10;3;C3;19,5;0.122;Oscar and Maria ;
13;12;2019;10;3;C4;35,6;0.162;Oscar and Maria ;
13;12;2019;10;3;C5;22,8;0.144;Oscar and Maria ;
13;12;2019;10;3;C6;25,6;0.14;Oscar and Maria ;
13;12;2019;10;3;D1;20,4;0.062;Oscar and Maria ;
13;12;2019;10;3;D2;8,7;0.025;Oscar and Maria ;
13;12;2019;10;3;D3;NA;0.101;Oscar and Maria ;
13;12;2019;10;3;D4;26,5;0.102;Oscar and Maria ;
13;12;2019;10;3;D5;36,2;0.247;Oscar and Maria ;
13;12;2019;10;3;D6;21,6;0.115;Oscar and Maria ;
13;12;2019;10;3;E1;23,4;0.129;Oscar and Maria ;
13;12;2019;10;3;E2;21,5;0.103;Oscar and Maria ;
13;12;2019;10;3;E3;26,4;0.152;Oscar and Maria ;
13;12;2019;10;3;E4;35,9;0.251;Oscar and Maria ;
13;12;2019;10;3;E5;NA;0.114;Oscar and Maria ;
13;12;2019;10;3;E6;36,6;0.144;Oscar and Maria ;
13;12;2019;10;3;F1;23;0.138;Oscar and Maria ;
