Day;Month;Year;Plot;Subplot;Group;Order;Family;Genus;Species;raw_species_id;number_animal;Plant;Plant_Simple;Jar;Time;comments;;
29;1;2019;2;B2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;HOMA seca;;
29;1;2019;3;A6;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;En bote;;
29;1;2019;3;C4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;En bote;;
29;1;2019;3;D3;NA;NA;NA;NA;NA;NA;1;HOMA;HOMA;3;;En bote;;
29;1;2019;3;D3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;Foto;;
29;1;2019;3;E3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;2;HOMA;HOMA;;;HOMA seca (Foto);;
29;1;2019;3;F6;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
29;1;2019;6;A5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
29;1;2019;6;B5;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
29;1;2019;6;F5;NA;NA;NA;NA;NA;NA;1;CHFU;CHFU;1;;En bote;;
4;2;2019;1;A3;Snails;Gastropoda;Geomitridae;Cochlicella;Cochlicella_barbara;Cochlicella_barbara;1;NA;NA;;;;;
4;2;2019;1;C6;Bugs;Hemiptera;Aphididae;Aphis;Aphis_fabae;Aphis_fabae;1;RAPE;RAPE;;;Foto;;
4;2;2019;1;D1;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;LEMA;LEMA;;;Foto;;
4;2;2019;2;B2;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;2;HOMA;HOMA;;;HOMA seca (Foto);;
4;2;2019;2;F1;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;HOMA seca;;
4;2;2019;3;A5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;HOMA seca;;
4;2;2019;3;B2;Bugs;Hemiptera;Aphrophoridae;Philaenus;Philaenus_spumarius;Philaenus_spumarius;1;NA;NA;1;;HOMA seca (CAPTURADA);;
4;2;2019;3;E4;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;HOMA;HOMA;;;HOMA seca;;
4;2;2019;5;F5;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;;;
5;2;2019;7;A6;NA;NA;NA;NA;NA;NA;1;NA;NA;;;Foto (Julio)- 20190205_P7A6 polinizador sobre CHFU;;
5;2;2019;8;C3;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;Rush;Rush;;;;;
5;2;2019;8;D4;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;NA;NA;;;Foto;;
5;2;2019;8;E6;Snails;Gastropoda;NA;NA;NA;Gastropoda;1;CHFU;CHFU;;;Foto (Julio) - 20190205_P7A6 polinizador sobre CHFU;;
5;2;2019;9;A6;Caterpillars;Lepidoptera;Lasiocampidae;Lasiocampa;Lasiocampa_trifolii;Lasiocampa_trifolii;1;NA;NA;;;Foto;;
5;2;2019;9;A6;Caterpillars;Lepidoptera;NA;NA;NA;Lepidoptera;1;NA;NA;;;Stick like camoflage. Crocallis tusciariaNA;;
5;2;2019;9;D3;Snails;Gastropoda;Helicidae;Theba;Theba_pisana;Theba_pisana;1;NA;NA;;;Foto;;
